Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (weight%),Titanium concentration (weight%),Nitrogen concentration (weight%),Aluminium concentration (weight%),Boron concentration (weight%),Niobium concentration (weight%),Tin concentration (weight%),Arsenic concentration (weight%),Antimony concentration (weight%),Heat input (kJmm-1),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kgmm-2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Electrode positive or negative_+,Electrode positive or negative_-,Electrode positive or negative_0,Type of weld_FCA,Type of weld_GMAA,Type of weld_GTAA,Type of weld_MMA,Type of weld_NGGMA,Type of weld_NGSAW,Type of weld_SA,Type of weld_SAA,Type of weld_ShMA,Type of weld_TSA,Puissance (W)
-1.2775378610963455,0.012653480497127712,1.6940928390354766,-0.22562670950691982,0.15579176354318167,-0.31815521608147473,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,0.0,0.0,,,,,-38.0,100.0,,,13.0,17.0,60.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.2775378610963455,0.012653480497127712,1.6940928390354766,-0.22562670950691982,0.15579176354318167,-0.31815521608147473,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,580.0,2.0,-0.3184838481815194,-0.20757631810271096,0.22979835935597112,0.5717508271912424,-40.0,100.0,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.5286798397996166,-0.0762977951677892,-1.4209185069089858,-0.3148380380259706,-0.09981382772171088,0.6448043523361984,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,250.0,14.0,-1.0511959016349655,-1.2462304435717324,1.2926522704814314,0.8408025569741928,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.5286798397996166,-0.0762977951677892,-1.4209185069089858,-0.3148380380259706,-0.09981382772171088,0.6448043523361984,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,580.0,2.0,-1.1589476742016487,-1.347837912367615,1.619684243135419,0.9865389106066245,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.444965846898526,0.012653480497127712,-0.5047386992782618,-0.3148380380259706,-0.09981382772171088,0.5721281584933551,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,250.0,14.0,-0.4801115070315443,-0.8172211308780062,0.6794673217552046,0.6726452258598482,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.444965846898526,0.012653480497127712,-0.5047386992782618,-0.3148380380259706,-0.09981382772171088,0.5721281584933551,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,0.0,0.0,,,,,,,,,19.0,43.0,38.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.444965846898526,0.012653480497127712,-0.5047386992782618,-0.3148380380259706,-0.09981382772171088,0.5721281584933551,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,580.0,2.0,-0.8895682427849406,-0.9978566309595751,1.088257287572689,0.8856445119380186,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.0263958823930746,-0.0762977951677892,0.5161473720816879,-0.22562670950691982,0.05354952703722466,0.5357900615719333,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,250.0,14.0,0.004771469518530308,-0.29789406814349545,0.4750723388464624,0.5717508271912424,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.0263958823930746,-0.0762977951677892,0.5161473720816879,-0.22562670950691982,0.05354952703722466,0.5357900615719333,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,580.0,2.0,-0.6309639886249009,-0.6591650683066334,0.393314345682965,0.7847501132694112,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
-1.1101098752941647,0.012653480497127712,1.6940928390354766,-0.3148380380259706,0.05354952703722466,0.6084662554147767,-0.42745181015783823,-0.5635698626080055,-0.1469032581546355,-0.28992437709978525,-0.0552990427493049,-0.060795226756547104,-1.4718089227888351,-0.5480017419587789,-0.8784870541578019,-0.4817137434657648,-0.37593164262206175,-0.36314039830408695,-0.18443665462129077,-0.22617656914861312,-0.25629637773132824,-0.5400214989042548,-0.10714765849000296,250.0,14.0,0.41422820527192666,0.2665918696114076,-0.0563546167162677,0.3475410523721162,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5277906572809166
